BFS_NR_GEMEINDE,GEMEINDE_NAME,BEZIRK_NR,BEZIRK_NAME,JAHR,GESCHLECHT_CODE,GESCHLECHT_BEZEICHNUNG,ALTER5KLASSEN_CODE,ALTER5KLASSEN_BEZEICHNUNG,ANZAHL_PERSONEN
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,0,4 Jahre oder jünger,59, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,5,5 bis 9 Jahre,51, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,10,10 bis 14 Jahre,59, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,15,15 bis 19 Jahre,59, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,20,20 bis 24 Jahre,64, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,25,25 bis 29 Jahre,99, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,30,30 bis 34 Jahre,104, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,35,35 bis 39 Jahre,93, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,40,40 bis 44 Jahre,94, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,45,45 bis 49 Jahre,90, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,50,50 bis 54 Jahre,124, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,55,55 bis 59 Jahre,122, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,60,60 bis 64 Jahre,99, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,65,65 bis 69 Jahre,77, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,70,70 bis 74 Jahre,84, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,75,75 bis 79 Jahre,63, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,80,80 bis 84 Jahre,62, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,85,85 bis 89 Jahre,32, 
4421,Horn,2011,Bezirk Arbon,2019,2,Weiblich,90,90+ Jahre,32, 
